model_name,num_species,num_reaction,deg0_min,deg0_median,deg0_max,deg0_values,deg0_num_nonzero_term,deg1_min,deg1_median,deg1_max,deg1_values,deg1_num_nonzero_term,deg2_min,deg2_median,deg2_max,deg2_values,deg2_num_nonzero_term
BIOMD0000000003,3,7,0.0,1.1102230246251565e-16,2.220446049250313e-16,"[np.float64(2.220446049250313e-16), 0.0, np.float64(1.1102230246251565e-16)]",3.0,0.9777294579089352,0.9882357177733633,0.9999733092640435,"[np.float64(0.9999733092640435), np.float64(0.9777294579089352), np.float64(0.9882357177733633)]",12.0,0.9999887446444242,0.9999932497982114,0.9999999999633848,"[np.float64(0.9999999999633848), np.float64(0.9999887446444242), np.float64(0.9999932497982114)]",30.0
BIOMD0000000004,5,7,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",3.0,0.8652855909888622,0.9217699948109296,0.9999758947187257,"[np.float64(0.9999758947187257), np.float64(0.9217699948109296), np.float64(0.8652855909888784), np.float64(0.9217699948109356), np.float64(0.8652855909888622)]",26.0,0.0,0.42010952007549307,0.9999056689947646,"[np.float64(0.9999056689947646), 0.0, np.float64(0.42010952008532954), 0.0, np.float64(0.42010952007549307)]",84.0
BIOMD0000000005,6,9,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.3525977666823412,0.5910576029583958,0.9988025620103933,"[np.float64(0.5493777687405845), np.float64(0.9988025620103933), np.float64(0.3525977666823412), np.float64(0.6327374371762071), np.float64(0.5491582032192974), np.float64(0.997552423129936)]",40.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",167.0
BIOMD0000000008,5,13,0.0,0.0,1.1102230246251565e-16,"[0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0]",3.0,0.0797899879517483,0.9961564080385839,0.9985155849869957,"[np.float64(0.9977361962847987), np.float64(0.0797899879517483), np.float64(0.9849618805870786), np.float64(0.9985155849869957), np.float64(0.9961564080385839)]",20.0,0.0,0.999325718737471,0.9999999988451079,"[np.float64(0.9998074693050593), np.float64(0.08085432691313388), np.float64(0.9999999988451079), 0.0, np.float64(0.999325718737471)]",40.0
BIOMD0000000010,8,10,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,0.11856186090119403,0.6610847378847013,0.9755567009407642,"[np.float64(0.37993360617938954), np.float64(0.37993360617938876), np.float64(0.5966614941986919), np.float64(0.725507981570711), np.float64(0.9755567009407642), np.float64(0.8220836471944687), np.float64(0.11856186090119403), np.float64(0.8728361103667357)]",47.0,0.0,0.0,0.02281855588065651,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.02281855588065651)]",6.0
BIOMD0000000012,6,12,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.0,0.0,0.6339174397758383,0.9729023396613052,"[np.float64(0.9676445498590935), np.float64(0.9729023396613052), np.float64(0.9720850509728639), 0.0, np.float64(0.30019032969258297), 0.0]",34.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",87.0
BIOMD0000000013,18,21,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0]",18.0,0.7940599402697143,0.9976617108252406,0.9999606158232115,"[np.float64(0.9999606158232115), np.float64(0.9999037929808541), np.float64(0.8395603758452835), np.float64(0.8508028862085573), np.float64(0.9995229099370306), np.float64(0.9844011606641596), np.float64(0.9995131378463583), np.float64(0.999719825003954), np.float64(0.9977408312555873), np.float64(0.9976770001261139), np.float64(0.9951422454172828), np.float64(0.9998871749467861), np.float64(0.7940599402697143), np.float64(0.9917372062914686), np.float64(0.9868332133918496), np.float64(0.9982269539409363), np.float64(0.8395603738718658), np.float64(0.9976464215243673)]",342.0,0.0,0.28036730296504153,0.9939378327290846,"[np.float64(0.9939378327290846), np.float64(0.9922214008748067), 0.0, 0.0, np.float64(0.6733620753270303), np.float64(0.7049944258575265), np.float64(0.6680143910972074), np.float64(0.6462465434976841), np.float64(0.2453129974531877), np.float64(0.3154216084768954), 0.0, np.float64(0.9626449633755465), 0.0, 0.0, 0.0, np.float64(0.42576305628625133), 0.0, np.float64(0.20996814791111307)]",3420.0
BIOMD0000000014,86,300,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12.0,0.0,0.4741444240537602,0.9999999662741117,"[np.float64(0.9994743020017974), np.float64(0.9876139391058043), np.float64(0.9999999662741117), 0.0, np.float64(0.9999910210366268), np.float64(0.9743733427974688), np.float64(0.4741444240537602), np.float64(0.9999643456030247), 0.0, np.float64(0.34390439463743006), np.float64(0.9999816683904696), np.float64(0.14833929425678694), 0.0, np.float64(0.4741444240537602), np.float64(0.31668605715936726), np.float64(0.7972065474063521), np.float64(0.9995139320794846), np.float64(0.4741444240537602), np.float64(0.9873793498118354), np.float64(0.8418585659569029), np.float64(0.9999741373110786), 0.0, np.float64(0.9999999593428127), np.float64(0.9999972770821753), np.float64(0.992645327704866), np.float64(0.9999996788184923), np.float64(0.9999897604183877), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.7812733654183773), 0.0, np.float64(0.999999819961953), np.float64(0.9999940492132835), np.float64(0.952426064602878), np.float64(0.9999996522248736), np.float64(0.9717359324956047), np.float64(0.9999996564908702), 0.0, 0.0, np.float64(0.623665779864909), 0.0, np.float64(0.8201261150225432), np.float64(0.0320134121551644), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.8315492547116543), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.9982011039849018), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.8105732690543009), np.float64(0.9960979234188099), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.9838516708026621), np.float64(0.999998801400122), np.float64(0.9743810479162319), 0.0, np.float64(0.9941720706409449), np.float64(0.999999688378182), np.float64(0.9994148437150507), np.float64(0.978158755223219), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.9752078242032828), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602)]",3524.0,0.0,0.7464346444968801,0.999999999999996,"[np.float64(0.9928912271689003), np.float64(0.9999999999999957), np.float64(0.9999999683290556), np.float64(0.9999999999986966), np.float64(0.9999999997274506), 0.0, 0.0, np.float64(0.9999999990796932), np.float64(0.9999999999999946), 0.0, np.float64(0.9999999994256403), np.float64(0.9999999999727706), np.float64(0.9999999999998624), 0.0, np.float64(0.9999999999973446), 0.0, np.float64(0.9926130287278704), 0.0, np.float64(0.999999999999996), np.float64(0.9999999999998795), np.float64(0.9999999993096079), np.float64(0.9999999999986965), np.float64(0.9999999624409086), np.float64(0.9999964838609029), np.float64(0.9999998046563063), np.float64(0.9999995460797517), np.float64(0.9999841258825176), np.float64(0.9999999971857879), 0.0, 0.0, 0.0, 0.0, np.float64(0.9292161428814805), 0.0, np.float64(0.9999997002791887), np.float64(0.9999923499593485), np.float64(0.9999999987183898), np.float64(0.9999995886828922), np.float64(0.9999978435219782), np.float64(0.9999999999968586), np.float64(0.8916700290356853), np.float64(0.7746826169704739), np.float64(0.9999999999999787), np.float64(0.7181866720232862), 0.0, np.float64(0.9999999999999927), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9999999999991779), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9999999999999459), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.999999999999546), np.float64(0.9999975338766242), np.float64(0.9999993742404831), np.float64(0.9416721500260692), 0.0, np.float64(0.9999997167809013), np.float64(0.9999999959258145), np.float64(0.9433979801372542), np.float64(0.8615205341165566), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8775.0
BIOMD0000000015,16,37,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,0.0,0.9296250468697977,0.9363488255299728,"[np.float64(0.9351196530737934), np.float64(0.9325868824118062), np.float64(0.9363488255299728), np.float64(0.9243388056401077), np.float64(0.9351739115401976), 0.0, 0.0, np.float64(0.9242557558433934), np.float64(0.9327617103106217), np.float64(0.932909318660441), np.float64(0.9242864278754435), np.float64(0.9327829200839939), np.float64(0.9287172957189777), np.float64(0.9081557253718079), np.float64(0.9250346172450692), np.float64(0.9305327980206178)]",256.0,0.0,0.0,0.9327829192125313,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9327829192125313), 0.0, 0.0, 0.0, np.float64(0.9305327910224656)]",1767.0
BIOMD0000000017,11,14,0.0,0.0,3.3306690738754696e-16,"[np.float64(3.3306690738754696e-16), 0.0, np.float64(3.3306690738754696e-16), 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0]",9.0,0.8072632929444585,0.9598633837717119,0.9981286256162918,"[np.float64(0.9598633837717119), np.float64(0.9485712210897399), np.float64(0.9598633837717128), np.float64(0.948571221089734), np.float64(0.9321850144114063), np.float64(0.9908185485485748), np.float64(0.9908185485485732), np.float64(0.8072632929444585), np.float64(0.9981286256162918), np.float64(0.8329530881247551), np.float64(0.9838081320644255)]",129.0,0.0,0.0,0.07125367178658815,"[0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.07125367178658815), np.float64(0.07125366197233585), 0.0, 0.0, 0.0, 0.0]",851.0
